folder,verdict,samples,detected,parsed_any,totals_ok,total_parsed,total_rescued,ok_lines,ambiguous_lines,sin_match_lines,sin_parser_lines,autoapprovable_lines,autoapprove_rate,needs_review_lines,validation_errors_lines
AGRINAG,OK,5,5,5,5,8,0,7,1,0,0,7,0.875,1,0
AGRIVALDANI,OK,5,5,5,5,21,0,15,0,6,0,15,1.0,6,0
AGROSANALFONSO,OK,5,5,5,5,30,0,29,0,1,0,29,1.0,1,0
ALKAVAT,OK,5,5,5,5,15,0,14,1,0,0,14,0.933,1,0
ALUNA,OK,5,5,5,5,22,0,22,0,0,0,22,1.0,0,0
APOSENTOS,OK,5,5,5,4,35,2,32,1,2,0,32,0.97,3,0
ART ROSES,OK,5,5,5,5,29,0,27,2,0,0,27,0.931,2,0
BELLAROSA,OK,5,5,5,5,5,0,5,0,0,0,5,1.0,0,0
BENCHMARK,OK,5,5,5,5,46,0,46,0,0,0,46,1.0,0,0
BOSQUE,OK,5,5,5,5,20,0,14,0,5,0,11,0.786,8,7
BRISSAS,OK,5,5,5,5,171,0,170,0,1,0,170,1.0,1,0
CANANVALLE,OK,5,5,5,3,32,0,28,2,2,0,27,0.9,4,0
CANTIZA,OK,5,5,5,4,105,0,104,0,1,0,103,0.99,2,1
CEAN GLOBAL,NO_PARSEA,5,5,4,1,19,1,12,6,1,0,9,0.5,10,4
CERESFARMS,OK,5,5,5,5,61,0,61,0,0,0,61,1.0,0,0
CIRCASIA,OK,5,5,5,5,14,6,13,1,0,0,13,0.929,1,0
COLIBRI,OK,5,5,5,5,72,0,72,0,0,0,72,1.0,0,0
CONDOR ANDINO,OK,5,5,5,5,5,0,5,0,0,0,4,0.8,1,1
CONEJERA,OK,5,5,5,5,13,8,8,1,4,0,8,0.889,5,0
DAFLOR,OK,5,5,5,5,37,2,32,0,5,0,32,1.0,5,0
ECOFLOR,OK,5,5,5,5,58,0,53,2,3,0,53,0.964,5,0
EL CAMPANARIO,OK,5,5,5,5,49,0,40,5,4,0,39,0.867,10,0
EL PROGRESO,OK,5,5,5,5,8,0,8,0,0,0,8,1.0,0,0
ELITE,OK,5,5,5,5,45,0,25,3,17,0,25,0.893,20,0
EQR,OK,5,5,5,4,8,0,8,0,0,0,8,1.0,0,0
FARIN,OK,5,5,5,5,6,0,6,0,0,0,6,1.0,0,0
FIORENTINA,OK,5,5,5,5,48,0,48,0,0,0,48,1.0,0,0
FLORAROMA,OK,5,5,5,4,191,0,190,1,0,0,190,0.995,1,0
FLORELOY,OK,5,5,5,5,9,0,9,0,0,0,9,1.0,0,0
FLORIFRUT,OK,5,5,5,5,71,0,66,2,3,0,63,0.926,8,0
FLORSANI,OK,5,5,5,5,53,0,52,0,1,0,52,1.0,1,0
GLAMOUR,OK,5,5,5,5,28,0,28,0,0,0,28,1.0,0,0
GOLDEN,OK,5,5,5,5,38,0,38,0,0,0,38,1.0,0,0
GREENGROWERS,OK,5,5,5,5,31,0,27,4,0,0,27,0.871,4,0
INFINITY,OK,5,5,5,5,15,0,13,0,1,0,11,0.846,3,0
IWA,OK,5,5,5,5,53,0,33,1,2,0,33,0.971,3,0
LA ALEGRIA,OK,5,5,5,5,69,0,69,0,0,0,69,1.0,0,0
LA ESTACION,OK,5,5,5,5,205,0,205,0,0,0,201,0.98,4,0
